volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms
medio,bajo,alns,7,7,369,91,91,24.66,16016.00,0.00,5062
medio,bajo,aco,8,8,369,361,361,97.83,92596.00,0.00,4658
medio,bajo,alns,8,8,369,94,94,25.47,16928.00,0.00,5341
medio,bajo,aco,9,9,369,362,362,98.10,93100.00,0.00,4500
medio,bajo,alns,9,9,369,92,92,24.93,16024.00,0.00,5252
medio,bajo,aco,10,10,369,361,361,97.83,93506.00,0.00,4338
medio,bajo,alns,10,10,369,95,95,25.75,19776.00,0.00,5652
medio,bajo,aco,11,11,369,360,360,97.56,91446.00,0.00,4498
medio,bajo,alns,11,11,369,94,94,25.47,17074.00,0.00,5327
medio,bajo,aco,12,12,369,360,360,97.56,89960.00,0.00,4319
medio,bajo,alns,12,12,369,93,93,25.20,16710.00,0.00,5072
medio,bajo,aco,13,13,369,362,362,98.10,95700.00,0.00,4414
medio,bajo,alns,13,13,369,94,94,25.47,17520.00,0.00,5199
medio,bajo,aco,14,14,369,362,362,98.10,92792.00,0.00,4562
medio,bajo,alns,14,14,369,92,92,24.93,15864.00,0.00,5300
medio,bajo,aco,15,15,369,362,362,98.10,92014.00,0.00,4525
medio,bajo,alns,15,15,369,93,93,25.20,17556.00,0.00,5100
medio,bajo,aco,16,16,369,362,362,98.10,91412.00,0.00,4590
medio,bajo,alns,16,16,369,93,93,25.20,16528.00,0.00,5716
medio,bajo,aco,17,17,369,361,361,97.83,92796.00,0.00,4622
medio,bajo,alns,17,17,369,94,94,25.47,18306.00,0.00,5428
medio,bajo,aco,18,18,369,360,360,97.56,93438.00,0.00,4531
medio,bajo,alns,18,18,369,93,93,25.20,17200.00,0.00,5337
medio,bajo,aco,19,19,369,360,360,97.56,91108.00,0.00,4473
medio,bajo,alns,19,19,369,91,91,24.66,15154.00,0.00,5213
medio,bajo,aco,20,20,369,359,359,97.29,91138.00,0.00,4556
medio,bajo,alns,20,20,369,91,91,24.66,16066.00,0.00,5387
medio,bajo,aco,21,21,369,360,360,97.56,91318.00,0.00,4661
medio,bajo,alns,21,21,369,92,92,24.93,15948.00,0.00,5150
medio,bajo,aco,22,22,369,358,358,97.02,93028.00,0.00,4510
medio,bajo,alns,22,22,369,92,92,24.93,16782.00,0.00,5046
medio,bajo,aco,23,23,369,360,360,97.56,95302.00,0.00,4518
medio,bajo,alns,23,23,369,94,94,25.47,18376.00,0.00,5087
medio,bajo,aco,24,24,369,360,360,97.56,91982.00,0.00,4517
